他天生皮肤白，怎么晒都晒不黑。	伊/是/白肉底/，/按怎/曝/嘛/曝/袂/乌/。
他的一句话使得我的心里一片杂乱。	伊/的/一/句/话/予/我/规个/心头/挐绞绞/。
没有排骨要怎么熬汤？	无/肉骨/是/欲/按怎/炕/汤/？
他不小心去沾到油漆。	伊/无张持/去/聿着/漆/。
如果没有经过这次的考验，你永远不会出头天。	若/无/经过/这/摆/的/考验/，/你/永远/袂/出脱/。
明天不用上班，可以安心入睡。	明仔载/免/上班/，/会使/稳心仔/困/。
他忘记带钱，先向老板赊帐。	伊/袂记得/扎/钱/，/先/共/头家/赊数/。
 修到好，要多久？	修理/好/，/爱/偌久/？
他吃素不曾超过三天。	伊/素食/毋/捌/超过/三/工/。
歇后语故意把话意藏在话里，让听的人去抓话里的重点。	激骨话/刁工/共/话意/藏/伫/话里/，/予/听/的/人/去/掠/话骨/。
这个案件还没定谳。	这/个/案件/犹未/定案/。
我这么好心，却被他误会。	我/遮尔/好心/，/煞/去/予/伊/误会/。
小孩跟大人要钱去买冰棒。	囡仔/共/大人/讨钱/去/买/枝仔冰/。
糟了啦！事情出纰漏了啦！	害矣啦/！/代志/煏空矣啦/！
小事不要捕风捉影，说得好像多严重一样。	小可仔/代志/毋通/风声嗙影/，/讲/甲/毋知/偌/严重咧/。
我比较占便宜。	我/较/占/便宜/。
我给你一个月的时间，把欠的钱还完。	我/限/你/一/月日/以内/，/共/欠/的/钱/还/了/。
母鸡要生蛋时，咱们先拿一颗蛋放在一处做诱饵，牠就会过来生在那儿。	鸡母/欲/生卵/的/时/，/咱/先/提/一/粒/卵/囥/踮/一/迹/做囮/，/伊/就/会/过来/生/蹛/遐/。
他穿一件粉红色的洋装。	伊/穿/一/躯/粉红仔/色/的/洋装/。
穿内衣比较卫生。	有/穿/内衫/加/较/卫生/。
柿饼有嚼劲、甜甜的，很好吃。	柿粿/𩚨嗲嗲/、/甜粅粅/，/真/好/食/。
朋友之间要互相勉励。	朋友/斗阵/爱/互相/勉励/。
这回的帐目好像不太对，你要不要再核对一次？	这/摆/的/数目/敢若/无/啥/着/，/你/欲/阁/对一摆无/？
戏院门口挤满了人。	戏院/门口/人/插插插/。
好人让你做，我来扮黑脸。	好/人/予/你/做/，/我/来/做臭人/。
张三最喜欢跟女人开黄腔，实在惹人厌。	阿三/上/爱/佮/妇人人/狗鲨/，/实在/有够/顾人怨的/。
这件事要慢慢解决，你不要太冲动。	这/件/代志/爱/慢慢仔/解决/，/你/莫/伤/冲碰/。
他腿软，没辨法着地行走。	伊/软跤/，/无法度/落涂/行路/。
煮麻油鸡一定要先用老姜炒过。	煮/麻油鸡/一定/爱/先/用/姜母/落去/炒/。
药吃下去后感觉舒服多了。	药仔/食/了/人/加/真/爽快/。
台风快要来了，很多渔船都开进港口避风。	风台/咧欲/来矣/，/真/济/渔船仔/拢/驶/入来/港口/闪风/。
校长叫他去校长室。	校长/叫/伊/去/校长/室/。
把黑板的字擦掉。	共/乌枋/的/字/擦/擦咧/。
嫌疑犯想要逃走，警察先对空鸣枪示警。	彼个/嫌疑犯/想欲/逃走/，/警察/先/对/天顶/放铳/警告/。
他是卷发，不用烫头发。	伊/是/虬毛的/，/免/电/头鬃/。
你不要一直唠叨。	你/莫/一直/踅踅念/。
你是吃坏肚子了吗？不然怎么会一直拉肚子？	你/是/食歹/腹肚呢/？/无/，/哪/会/一直/落屎/？
他的脸我看了就讨厌。	伊/的/面/我/看着/就/刺凿/。
你做得这么辛苦还让人嫌弃，实在太不值得了！	你/做/甲/遐/辛苦/阁/予/人/嫌/，/实在/真/毋值/！
若照这样下去，事情就不好了。	若/照/按呢落去/，/代志/就/毋/好矣/。
我觉得野猪肉比较好吃。	我/感觉/山猪仔/肉/较/好食/。
这碗面的汤汁味道很好。	这/碗/面/汤头/真/好/。
他是个仲介商，专门赚取仲介费。	伊/是/做/牵猴仔的/，/专门/咧/趁/中人/钱/。
明明知道他的病没药医，要放弃治疗内心也是很煎熬。	明明/知影/伊/的/病/无/药/医/，/欲/放弃/治疗/心内/嘛是/真/艰难/。
拿槌子敲下去。	攑/槌仔/共/伊/撼落去/。
你老是喜欢自己一个人跑去没有救生员的海边游泳，早晚会出事。	你/定定/爱/家己/一/个/走/去/无/救生员/的/海边/泅水/，/紧縒慢/会/出代志/。
你为什么没有来？	你/是按怎/无/来/？
被竹竿拂到。	予/竹篙/挨着/。
房子收回来自己住。	厝/收/转来/家己/蹛/。
他的精神不太好，你别再吵他了。	伊/的/精神/无/啥/好/，/你/莫/阁/共/伊/吵矣/。
他的脸上有一道伤疤。	伊/的/面/有/一/疧/。
后天这里要举办一场歌唱比赛。	后日/遮/欲/举行/一/场/歌唱/比赛/。
无论如何总是要多念些书。	较讲/嘛/爱/读/较/济/册咧/。
这件事情你必须格外小心。	这/件/代志/你/爱/特别/注意/。
你做事要节制一下，不要太过份。	你/做/代志/着/较/撙节咧/，/毋通/伤/超过/。
这次的事情做得不太顺利，才会去碰到钉子。	这/摆/的/代志/做/了/无/啥/顺利/，/才/会/去/予/人/碰钉/。
到大卖场买比较省钱。	去/大卖场/买/较/省钱/。
我们两个人是在街上遇见的。	阮/两/个/是/伫/街仔路/拄着的/。
看得目不转睛。	看/甲/目睭/无/转轮/。
把眼睛遮起来。	共/目睭/掩起来/。
他这样的做事手法太过粗鲁了。	伊/这/款/做法/手路/伤/粗啦/。
这个村落的人都很好客。	这/个/庄头/的/人/拢/真/好客/。
公司一堆糊涂账，再怎么抓账都兜不拢。	公司/一/堆/狗肉数/，/按怎/掠/都/掠/袂/直/。
电风扇转动得很快。	电风/纺/足/紧/。
我上个星期问你的问题，你何时可以答复我？	我/顶/礼拜/问你/的/问题/，/你/当时/会当/回复我/？
你有什么凭据说这种话？	你/有/啥物/凭据/讲/这/种/话/？
这种木材一才多少钱？	这/款/木材/一/才/偌济/？
你的衣橱还塞得真紧实。	你/的/衫仔橱/阁/櫼/甲/真/密实/。
你们是有钱人家，当然不知道穷人生活的艰苦。	恁/是/富户/，/当然/毋/知/散赤人/生活/的/艰苦/。
我们的国家元首叫做总统。	咱/国家/的/元首/叫做/总统/。
这次都市里发生水灾，损失惨重。	这/摆/市内/做大水/，/损失/诚/严重/。
既然你不答应，我们只好找别人。	你/甲/毋/答应/，/阮/只好/揣/别人/。
那几片彩云添加了黄昏的美丽。	彼/几/片/彩云/加添/黄昏/的/美丽/。
这条路和那条路是相通的。	这/条/路/佮/彼/条/路/是/相迵的/。
你这会儿是仗了谁的权势来着？竟敢上门来闹事？	无/，/你/这马/是/倚靠/啥人/的/势头/？/敢/侵/门/踏/户/来/乱/？
他贪图着人家有钱，才会给人招赘。	伊/贪着/人/好额/，/才/会/去/予/人/招/。
他小时候比较胖，上国中后长高了，身材好看得很！	伊/囡仔时/较/大箍/，/国中/了后/抽悬起来/，/体格/好看/甲/！
这位小婶很尊重大伯。	这/个/小婶/诚/尊重/大伯/。
事情已到这个地步了，接下来要怎么做呢？	代志/已经/按呢生矣/，/绁落去/欲/按怎咧/？
越接近春节，菜市场买东西的人就越多了。	愈/倚/年节/，/菜市仔/买/物件/的/人/就/愈/济矣/。
养育小孩真辛苦。	饲/囝/真/辛苦/。
在那里弄了老半天，不知道他在搞什么鬼？	伫/遐/变/规晡/，/毋/知/伊/咧/变/啥物/魍/？
他不爱洗澡，常常都有一股体臭味。	伊/无爱/洗身躯/，/定定/嘛/有/一/个/膻/。
等一下，等他来了再说。	慢且是/，/等/伊/来/才阁/讲/。
办丧事的时候，要正经一点。	办/丧事/的/时候/，/爱/较/正经咧/。
事情恐怕没那么简单。	代志/恐惊/见/无/遐尔/简单/。
有小孩在身旁碍手碍脚，无法工作。	有/囡仔/伫/身躯边/缠跤绊手/，/做/无/工课/。
女孩子家要文静一点，不要东摸西摸到处乱碰。	查某/囡仔人/爱/较/定着咧/，/毋通/乌白/贱/。
你敢做，就不要叫我替你隐瞒。	你/敢/做/，/就/莫/叫/我/替/你/掩崁/。
他们两个不输一对鸳鸯，出入都在一起。	𪜶/两/个/袂输/一对/鸳鸯/，/出入/拢/做阵/。
我要向你挑战。	我/欲/向/你/挑战/。
这种事你应该要趁早讲，现在要反悔已经来不及了。	这/种/代志/你/毋着/冗早/讲/，/这马/欲/反悔/已经/袂赴矣/。
牙齿痛，脸颊肿起来了。	喙齿/疼/，/喙䫌/胮起来矣/。
做职员的领薪水，赚不了多少钱。	做/职员/领/薪水/，/趁/无/偌济/钱/。
这张税单的期限已经到了。	这/张/税单/已经/到期矣/。
感冒与过敏都会鼻塞。	感冒/佮/过敏/拢/会/实鼻/。
你赶快去赶快回来，才不会太过打扰人家。	你/趁早/去/趁早/转来/，/较/袂/共/人/伤/龊嘈/。
你要侧身才可以过。	你/爱/坦敧身/才/会当/过/。
水果要是碰伤了，就卖不到好价钱。	果子/若/靠伤/，/就/卖/较/无价/。
他斜眼在看你。	伊/斜目/咧/看你/。
你的帽子戴歪掉了。	你/的/帽仔/歪去矣/。
蟹膏是上等料理。	𫊻膏/是/上等/料理/。
他那个人最喜欢炫耀。	伊/彼/个/人/上/爱/展风神/。
我的笔不见了！	我/的/笔/无去矣/！
我做一个谜语给你猜。	我/做/一/个/谜猜/予/你/臆/。
老板，猪肉较好的部份切一块给我。	头家/，/猪肉/较/好份的/切/一/块/予我/。
这条路太窄，无法错车。	这/条/路/伤/狭/，/袂当/相闪车/。
他很看重钱。	伊/看/钱/真/重/。
牵一下小孩。	囡仔/共/伊/牵一下/。
早期的农夫下雨天就穿蓑衣出去工作。	较/早/的/作田人/落雨天/就/穿/棕蓑/去/作穑/。
演戏不是简单的事情，要下功夫。	做戏/毋/是/简单/的/代志/，/爱/下/工夫/。
这边的人很好客。	遮/的/人/真/好客/。
那本书借我看一下。	彼/本/册/借/我/眼一下/。
他每次考试都想得第一。	伊/逐摆/考试/拢/想欲/得/头名/。
开车要专心。	开车/爱/专心/。
他又抱他孙子出来炫耀了。	伊/阁/抱/𪜶/孙/出来/咧/展宝矣/。
红龟粿很有弹性。	红龟粿/真/𩚨/。
祖父今年八十岁了，身体依然健朗如昔。	阿公/今年/八十/岁矣/，/身体/犹阁/真/勇健/。
我忘记几点要开会。	我/袂/记得/几点/欲/开会/。
你窗户没关好，风都从空隙中吹进来了！	你/窗仔门/关/无/好/，/风/拢/对/空缝/吹入来矣/！
做善事才会有好的后代子孙。	做/好代/才/会/出/好/囝孙/。
我看阿忠比较可能输。	我/看/阿忠/输面/较/大/。
他们一家人靠撒网捕鱼过日子。	𪜶/规家伙仔/靠/抛/网/掠/鱼/过/日子/。
外头刮起大风了，你不要再出去了。	外面/当咧/透风/，/你/莫/阁/出去矣/。
旗子飘来飘去。	旗仔/飏/来/飏/去/。
她是一个大美人。	伊/是/一/个/大/美人/。
这次的投资失败，整个家产都破产了。	这/摆/的/投资/失败/，/规个/家伙/拢/臭焦去矣/。
邻居要相互照顾。	厝边兜/爱/相照顾/。
下雨天没办法晒谷子。	落雨天/无法度/曝/粟/。
不要玷污他人。	莫/秽涚/别人/。
那个人胃口大，工程让他经手都要抽百分之十。	彼/箍/食重咸/，/工程/过/伊/的/手/拢/爱/抽/百/分/之/十/。
吃药能止痛，但是也有副作用。	食/药仔/会当/止/疼/，/毋过/嘛/有/副作用/。
他再三声明这件事情和他没关系。	伊/再三/声明/这/件/代志/佮/伊/无/关系/。
眼睛睁开就看到他了。	目睭/擘开/就/看着/伊矣/。
你现在有什么打算？	你/这阵/有/啥物/拍算/？
鸭子在划水。	鸭仔/咧/搤/水/。
你们不要在那里吵得不得安宁。	恁/莫/阁/伫/遐/吵家抐计/。
把瓶盖转开。	共/窒仔/捘开/。
意为没有十足把握。	在欉黄的/，/无/隐/。
不论你说什么，我都不会答应的。	无论/你/讲/啥/，/我/拢/袂/答应/。
他把孩子托付给他大哥。	伊/将/囡仔/寄托/予/𪜶/大兄/。
做人和做事情都要有固定的心志，不可以颠三倒四。	做人/佮/做/代志/拢/爱/有/定性/，/毋通/反起反倒/。
妈妈看到我的分数一定会发狂。	妈妈/看着/我/的/分数/一定/会/掠狂/。
你不要到外面淋雨。	你/毋通/去/外口/淋雨/。
他的心情很恶劣。	伊/的/心情/诚/䆀/。
你先将草席铺好再去睡。	你/先/去/共/草席仔/舒/予/伊/好/才/去/困/。
就是因为有人陷害，他才会枉死。	就/是/有人/陷害/，/伊/才/会/来/枉死/。
嫖、赌、饮酒样样都会。	嫖/赌/饮/三/字/全/。
那个懒惰虫，太阳晒屁股了还不起床。	彼/个/贫惰骨/，/日头/曝/尻川矣/阁/毋/起来/。
庙口现正有迎神赛会，我们赶快去看看。	庙口/这阵/咧/迎闹热/，/咱/紧/来去/看/。
哎！到月底又没钱了！	嗳/！/到/月/底/又阁/无/钱矣/！
他口袋里装着钱。	伊/橐袋仔内/有/袋/钱/。
你安静点，有人在睡午觉。	你/较/安静咧/，/有人/咧/困昼/。
他真的是一个有才能的人，难怪大家那么尊重他。	伊/真正/是/一/个/𠢕人/，/莫怪/逐家/拢/遮尔仔/尊敬伊/。
做人的道理要知道。	做人/的/道理/爱/捌/。
他这个人很正派。	伊/这/个/人/诚/正经/。
拿火柴来点火。	提/番仔火/来/戛火/。
他们兄弟俩常常正面冲突，争吵不休。	𪜶/兄弟仔/定定/正面/冲突/，/冤家量债/。
我和阿仁是同辈的堂兄弟。	我/佮/阿仁/是/𫝛匀/的/叔伯/兄弟/。
不要盲目跟从，被人家牵着团团转。	毋通/攑香缀拜/，/予/人/牵/咧/乌白/踅/。
他花钱很大方。	伊/出手/真/大方/。
他是一个笑里藏刀的人，你要注意！	伊/是/一/个/笑面虎/，/你/着爱/注意/！
我自己一个人很无聊，才会去看电影。	我/家己/一/个/人/足/无议量/，/毋才/去/看/电影/。
掐别人的脖子。	叉/人/的/颔颈/。
他还在吃饭。	伊/犹阁/咧/食饭/。
他很急性子，不像我那么会拖拖拉拉。	伊/足/急性的/，/无/像/我/遐/𠢕/拖沙/。
他已经失踪一个月左右了。	伊/失踪/成/月日矣/。
这里的桃子长得很好。	遮/的/桃仔/生/甲/足/媠的/。
晚上不要吹口哨。	暗时/莫/呼嘘仔/。
镜框有雕刻花样，看起来很好看。	镜框/有/雕刻/花样/，/看起来/真/媠款/。
你孽债尚未还清。	你/业债/犹未/还/清/。
把东西拿下来这里。	共/物件/提/落来/遮/。
这群人很大一群。	这/阵/人/诚/大/阵/。
现在很少用砖头盖房子， 砖窑一间间都关闭了。	这马/真/少/用/砖仔/起厝/，/砖仔窑/一间仔/一间/拢/关起来矣/。
是谁这么会扯？讲这么久。	是/啥人/遮/𠢕/牵/？/讲/遮/久/。
这件衣服皱掉了。	这/领/衫/皱去矣/。
他是不是会同意还很难说。	伊/是毋是/会/同意/犹/真/僫/讲/。
他真的很长屁股，去人家家里坐着就不起来了。	伊/有影/长尻川/，/去/人/兜/坐落去/就/毋知/通/起来/。
医院有提供饭菜给病人吃。	病院/有/提供/伙食/予/病人/食/。
他那个人很没度量，都不肯帮别人的忙。	伊/彼/个/人/真/无量/，/拢/毋肯/共/人/斗相共/。
现在外面阴阴的，待会儿也许会下雨。	这马/外口/乌阴/乌阴/，/等咧/拍算/会/落雨/。
做生意最怕遇到差劲的客人。	做/生理/上惊/拄/着/沤客/。
翻过来洗另外一边。	反过来/洗/另/外/一/面/。
不可以做违背良心的事。	袂使/做/亏心/事/。
你不用装好心。	你/免/咧/假好衰啦/。
经过这次的车祸，他现在出门的时候更加小心了。	经过/这/摆/的/车祸/，/伊/这马/出门/加/足/斟酌的/。
他把毛巾披挂在肩膀上。	伊/共/面巾/袚/伫/肩胛头/。
聪明的人学什么都很简单。	聪明/的/人/学/啥物/拢/真/简单/。
地面有一个坑洞。	涂跤/有/一/个/窟仔/。
我对你已经寒心失望了。	我/对/你/已经/凊心矣/。
喔！不要叫我去啦！	喔/！/莫/叫/我/去啦/！
糖果含在嘴里。	糖仔/含/伫/喙内/。
他的老婆常常和一些官员的老婆去交际应酬。	𪜶/某/定定/去/佮/一/寡/官夫人/交际/应酬/。
鱼煎到烧焦了。	鱼仔/煎/甲/臭火焦去/。
他从来都不曾生病。	伊/自来/就/毋/捌/破病/。
他做事情不得要领。	伊/做/代志/无下落/。
好心没好报，想到就一肚子气。	好心/煞/予/雷/唚/，/想/着/诚/厌气/。
是谁放臭屁？	是/啥物人/放/臭屁/？
人家说这个神坛的符很灵验。	人/讲/这个/神坛/的/符仔/真/灵/。
东西放在架子上面就好了。	物件/囥/架仔/顶面/就/好矣/。
总归一句，是你自己造成的后果，不用去怪别人。	总讲一句/，/是/你/家己/做得来的/，/毋免/去/怪/别人/。
他真是个孝顺的孩子。	伊/真正/是/一/个/有孝/的/囡仔/。
足月快要生产了，准备好了没有？	够月/欲/生矣/，/准备/好未/？
跟他索取我借他的书。	讨/伊/共/我/借/的/册/。
他去订做一套西装。	伊/去/定做/一/躯/洋服/。
骨要去干净。	骨/爱/拎/予/伊/离/。
你何必这样做？	你/曷着/按呢/做/？
家里面大小事情都是他在处理。	厝内/大细/项/代志/拢/是/伊/咧/发落/。
过生日排场这么大，真浪费。	做生日/遮尔/奢飏/，/真/讨债/。
他跑去跟他的老板理论。	伊/走去/共/𪜶/头家/大声/。
肩膀承担责任重大。	肩胛头/的/责任/真/重/。
这次公司亏损很严重。	这/摆/公司/亏损/真/严重/。
他们都跑出去玩了，留我一个人看家。	𪜶/拢/走/出去/𨑨迌矣/，/留/我/一/个/人/顾厝/。
我听你在胡说八道，没有一句话是真的。	我/听/你/咧/乌鲁木齐/，/十/句/无/一/句/实的/。
听了令人觉得烦闷。	听/了/人/真/慒/。
你少在那里做一些不入流的事情。	你/莫/伫/遐/做/一寡仔/阿沙不鲁/的/代志/。
路边摊吃个饱可以，若真要讲究要去大饭店吃。	路边担仔/食/粗饱/好/，/若/欲/讲究/爱/去/大/饭店/食/。
多谢你拨冗来参加我的婚礼。	多谢/你/拨工/来/参加/我/的/婚礼/。
这班车怎么这么挤？	这/帮/车/哪会/遮/𤲍/？
他不但骂人，甚至还出手打人。	伊/毋但/共/人/骂/，/甚至/阁/出手/拍人/。
他对我很忠心。	伊/对/我/诚/死忠/。
排长训练士兵，叫士兵起来、躺下去。	排长/训练/兵仔/，/共/兵仔/喝起喝倒/。
你这个可怜的小孩子，这么小父亲就过世了。	你/这/个/可怜/的/囡仔/，/遮尔/细汉/老爸/就/来/过身去/。
海水涨潮了。	海水/涨起来矣/。
他实在是贪吃到极点了，看到什么都想吃。	伊/实在/有够/枵鬼/，/看/着/啥/就/想/欲/食/。
两个人相互环抱，很久都不分开。	两/人/相寻/，/真/久/拢/毋/分开/。
肚子饿没办法工作，要吃饱才有力气。	腹肚/枵/无/才调/做/工课/，/爱/食/饱/才/有/气力/。
我已经想不出更好的策略了！	我/已经/想无/阁较/好/的/计策矣/！
这个我不会，请你教一下。	这/我/袂晓/，/请/你/教一下/。
出入要小心。	出入/爱/细腻/。
这次一百公尺赛跑，我们那班的阿明得到了第一名。	这/遍/一百/公尺/走标/，/阮/彼/班/的/阿明/得着/第一/名/。
把信装到信封里。	共/批/囊/入去/批囊/。
这个小孩命名了没？	这/个/囡仔/号名未/？
树下有很多过路客来乘凉。	树仔跤/有/真/济/过路人/来/歇凉/。
你顺道送她回去。	你/顺路/送/伊/转去/。
爷爷的哥哥我们要叫他「伯公」。	阿公/的/阿兄/咱/爱/叫/伊/「/伯公/」/。
肺结核要长期的治疗。	肺痨/着/爱/长期/的/治疗/。
我祖母虽然不识字，但是她说出口的话都是金玉良言。	阮/阿妈/虽然/毋/捌字/，/毋过/伊/讲/出喙/的/话/拢/是/金言玉语/。
把那间房分隔做两间。	共/彼/间/房/隔做/两/间/。
我吃两口就好。	我/食/两/喙/就/好/。
先不要烦恼钱，救人比较重要。	先/莫/烦恼/钱/，/救人/较/要紧/。
现在很多新产品都是自动的。	这马/真/济/新/产品/拢是/自动的/。
全村的人结合起来对付他。	规庄/的/人/联合/起来/对付伊/。
向大家谢罪。	向/逐家/谢罪/。
她丈夫在外面有女人，她都没察觉到。	𪜶/翁/伫/外口/有/查某/，/伊/拢/无/智觉着/。
我真是进退两难。	我/真正/是/进退/两/难/。
他昨天就有交代说今天还要再来。	伊/昨昏/就/放声/讲/今仔日/欲/阁/来/。
恐怕他不肯来。	惊/伊/毋/肯/来/。
你就是要人家在一旁监督，才会念书。	你/就/是/爱/人/伫/边仔/监督/，/才/会/读册/。
用链子把狗拴起来。	共/狗仔/炼起来/。
他瞧不起别人。	伊/看/别人/无/上目/。
感冒还没好，不要出去吹风。	感冒/犹未/好/，/毋通/出去/𠛅风/。
有批评才会有进步。	互相/落气/求/进步/。
他贫血，眼睛花了。	伊/贫血/，/目睭/起/烟晕/。
我爬楼梯爬得很喘。	我/𬦰/楼梯/𬦰/甲/足/喘的/。
你好像管家婆，每件事情都要管。	你/亲像/管家婆/，/逐/项/代志/都/欲/管/。
有开销，无收入。	有/去/路/，/无/来路/。
他所说的和事实很不一致。	伊/所/讲的/佮/事实/有/真/大/的/出入/。
久病床前无孝子。	久长病/，/无/孝子/。
以前他很不喜欢来我家。	往摆/伊/足/无/爱/来/阮/兜/。
他说谎被妈妈打耳光。	伊/讲白贼/去/予/阿母/搧喙䫌/。
要给人请吃喜酒，总得化妆打扮一下。	欲/去/予/人/请/食/喜酒/，/嘛/着/梳妆打扮一下/。
你不要诬赖别人。	你/莫/乌白/赖人/。
你不要刺我。	你/莫/共/我/针/。
他说话不留口德。	伊/讲话/真/歹喙斗/。
到底你的意愿是如何？	到底/你/的/意愿/是/按怎/？
现代的水瓢多半是塑胶制的。	现代/的/水觳仔/塑胶/做的/较/济/。
这个花瓶要排中间，不要偏向一边。	这/个/花矸/爱/排/伫/中央/，/毋通/偏/一/爿/。
这是便宜的东西值不了多少钱啦！	这/是/粗俗/物件/毋/值/几/仙/钱啦/！
最近手头比较紧，大家用钱要节省一点。	最近/手头/有/较/絚/，/逐家/用/钱/着爱/较/减省咧/。
你被人设计了。	你/予/人/设计去矣/。
巷子内有一家棺材店。	巷仔内/有/一/间/板仔/店/。
他的妈妈反对他们交往，他竟然得了相思病。	𪜶/老母/反对/𪜶/来往/，/伊/煞/来/病相思/。
秤秤看有几斤重。	磅/看/几/斤/重/。
你真是礼数周到，路途这么远还亲自送来。	你/哪/会/遐/厚礼数/，/路头/遐/远/阁/亲身/送来/。
墙壁有一处凸起了。	壁/有/一/位/噗起来矣/。
这个药产不产生药效？	这/味/药仔/是/推/会/行/抑/推/袂/行/？
这颗梨子多汁又甜美。	这/粒/梨仔/厚/汁/阁/甘甜/。
我把面线裁断。	我/共/面线/剪断/。
长寿活到一百二十岁。	长命/食/百二/。
他是我弟弟。	伊/是/阮/细的/。
妈祖显灵了。	妈祖/显圣矣/。
你这个孩子愈来愈会顶嘴了。	你/这/个/囡仔/愈/来/愈/𠢕/应话矣/。
怎会这么多人！	人/哪/会/遮/济着/！
你有什么好的建议吗？	你/有/啥物/好/的/建议无/？
你要把重要的事情记在笔记本上。	你/爱/共/重要/的/代志/记/伫/簿仔纸/顶头/。
他的脾气是很好，但是有时候也会抓狂。	伊/的/性地/真/好/，/毋过/有当时仔/嘛/是/会/掠狂/。
这块板子有一寸厚度。	这/块/枋/一寸/厚/。
他最近看起来很舒爽。	伊/最近/看起来/诚/心爽/。
他在问你，你都没回答。	伊/咧/问你/，/你/拢/无/回答/。
你要钻几个洞？	你/欲/钻/几/空/？
他读书读得很拚，难怪常常拿第一名。	伊/读册/真/拚势/，/莫怪/定定/提/头名/。
他长得很好看。	伊/生做/真/好看/。
这件事情请你帮我拉拢一下。	这/件/代志/请/你/共/我/运动一下/。
我身上没带半毛钱。	我/身躯边/无/扎/半/箍/银/。
这种事情你也做得出来？真是没良心！	这/款/代志/你/曷/做/会/出来/？/真正/是/无良心/！
今天的天气跟平时不一样。	今仔日/的/天气/佮/平常/无/仝款/。
你有够贪多，才两个人吃饭买这么多菜。	你/有够/大目孔/，/两/个/人/食饭/买/遮/济/菜/。
他常常被人当傻子。	伊/定定/予/人/当做/宋盼的/。
犯罪的人会被抓进去监狱里。	犯罪/的/人/会/予/人/掠/入去/栊仔内/。
你把这张纸对折再对折。	你/共/这/张/纸/对拗/阁/对拗/。
你的房间怎么这么乱？	你/的/房间/哪/会/乱操操/？
杀人的罪孽很重。	刣/人/的/罪业/真/重/。
我看到他觉得很不顺眼。	我/看着/伊/感觉/真/碍目/。
讲过了，不要一再重复了啦。	讲过矣/，/莫/阁/馏矣啦/。
再来是鸡年，你犯太岁，过年得去庙里安太岁。	阁/来/是/鸡年/，/你/犯/太岁/，/过年/着爱/去/庙里/安/太岁/。
那家百货公司在出清存货。	彼/间/百货/公司/咧/卸货底/。
他的事情讲三天也讲不完。	伊/的/代志/讲/三/工/嘛/讲/袂/尽/。
吃饭吃得这么不情不愿，干脆不要吃。	食饭/食/甲/遮尔仔/毋情愿/，/规气/莫/食/。
不知道他的新主管个性怎么样？	毋知/伊/的/新/顶司/个性/啥款/？
他没有职务在身。	退休/以后/，/伊/是/闲身/的/人/。
空心的萝卜很难吃。	蓬心/的/菜头/真/歹食/。
他这个人花样很多。	伊/这/个/人/空头/诚/济/。
他很会踢被子。	伊/真/𠢕/踢/被/。
你骂我不灵光，那自己是有多聪明？	你/骂/我/阿西/，/无/，/你/家己/是/有/偌/巧/？
他这个人很散漫。	伊/这/个/人/两光两光/。
不要常常说大话。	毋通/定定/讲/大话/。
你如果要出门，千万记得带雨衣，等会儿下雨才不会淋到雨。	你/若/欲/出去/着爱/会记得/扎/雨幔/，/等一下/落雨/才/袂/去/沃着/。
那个败家子将祖产全都挥霍光了。	彼/个/了尾仔囝/共/祖公仔产/拢/败了了矣/。
你别乱想了，他根本没那个意思。	你/莫/乌白/想矣/，/伊/根本/都/无/彼/个/意思/。
那个女人很轻佻。	彼/个/查某/真/娆/。
他吃错了药就跷辫子了。	伊/食/毋着/药仔/煞/行去/。
你是在发神经吗？	你/是/咧/神经/是无/？
他跟我的看法并不一致。	伊/佮/我/的/看法/并/无/一致/。
总有一天，我一定会成功。	有一日/，/我/一定/会/成功/。
阿英运气很差，只要存点钱，就会生病。	阿英仔/有够/歹运/，/见若/俭/寡/钱/，/人/就/破病/。
他拿着棍子不声不响地就打过来，还好我赶快闪开！	伊/棍仔/攑咧/无讲无呾/就/撼来/，/佳哉/我/紧/闪开/！
你就是耳根软，才会常常被人骗。	你/就是/耳空轻/，/才/会/定定/予/人/骗/。
他常常把别人骂得很难听。	伊/定定/共/人/咒谶/甲/真/歹听/。
他说话很有影响力。	伊/讲话/真/有力/。
大地震会让人心惊胆颤。	大/地动/会/予/人/心惊胆吓/。
你如果不穿，不然你稍微披一下。	你/若/毋/穿/，/无/，/你/小/幔一下/。
换你来接手。	换/你/来/接手/。
这些东西很脏，你不要来沾手。	遮的/物件/垃圾/，/你/莫/来/沐手/。
一点点工作就做得那么痛苦。	一屑仔/工课/做/甲/艰苦/罪过/。
趁着放假去玩可以改变心情。	趁/放假/去/𨑨迌/会当/改换/心情/。
这回你做得那么过份，我看是没人会再替你求情了。	这/摆/你/做/甲/遐尔仔/超过/，/我/看/是/无/人/会/阁/替/你/讲情矣/。
他可能不会来了。	伊/可能/袂/来矣/。
你别再催了，我马上到。	你/莫/阁/催矣/，/我/随时/到/。
这首歌你会不会唱？	这/条/歌/你/会晓/唱袂/？
他被那个不肖之徒气个半死。	伊/去/予/彼/个/毋成人/气/甲/欲/死/。
阿丽长得那么妖艳娇媚，很多人迷恋她。	阿丽/生做/遐/妖娇/，/真/济/人/为/伊/痴迷/。
做人不要太不切实际。	做人/毋通/伤/虚华/。
袋口必须密合住，饼干才不会潮湿。	袋仔喙/爱/封起来/，/饼/才/袂/润去/。
